
=== as_delivery: 360/1992 mismatches (18.1%) ===
[6] true=negative pred=neutral | giao hàng lâu
[1021] true=negative pred=neutral | rất không hài lòng nhé 1 là đóng gói quá sơ sài đóng gói được đúng cái giấy bóng chống sốc mà hàng có dễ vỡ đâu , phải đóng bìa cat tông chứ về mở ra sách gãy h...
[1030] true=negative pred=neutral | (*) đánh giá không tính điểm tiki quản lý việc đóng gói hoặc vận chuyển không tốt !! mua sách rồi mở ra như này rất không vui !! đổi trả mất thời gian !! đề ngh...
[1033] true=negative pred=neutral | giao hàng quá trễ, một cuốn không đẹp
[1045] true=negative pred=neutral | người giao hàng thái độ với khách hàng, lời nói thiếu tôn trọng khách hàng
[1047] true=negative pred=neutral | mua cùng bộ với hai cuốn nhà lãnh đạo 4.0 và giao tiếp để thành công. sách không có gì đáng chê nhưng thái độ phục vụ giao hàng sau 2h của tiki tệ. trên đơn đề ...
[1049] true=positive pred=neutral | giao hàng nhanh, đầy đủ sản phẩm nhưng gói hàng không thêm một bất kì thứ gì để chống sốc, làm cong pc, gáy sách bị df rất nhiều. mua sách về vừa đọc vừa trưng ...
[1052] true=negative pred=absent | sách tốt, nhưng tiki bán hàng càng lúc càng tệ. 1/ mua book care sẵn mà rất ít sách được bao. sách cho con kích thước vuông là không đóng gói, sách tiếng anh kí...
[1068] true=negative pred=absent | tại sao bán sách lại không có mark book??
[1088] true=positive pred=neutral | tiki giao nhanh nhưng lại giao cho mình sách cũ , bìa bị ố vàng cả 2 mặt , điều này lần đầu mình bị , lảm mình rất thất vọng
[1099] true=negative pred=neutral | truyện in cẩu thả quá! giao hàng thì chậm mất 5 ngày (đã phản hồi 3 lần)
[1108] true=negative pred=neutral | chất lượng lượng nhân viên giao hàng kém và không trách nhiệm với đơn hàng.
[1109] true=positive pred=neutral | giao hàng đúng hẹn, sách đã có vết gấp ở gáy. chắc là sách cũ nên được giảm giá.
[1116] true=negative pred=neutral | nội dung sách mình mới xem sơ qua khá thu hút mình, tuy nhiên mình thật sự không hài lòng về cách gói hàng và giao hàng của tiki, mặc dù mua lần này là lần thứ ...
[1121] true=positive pred=neutral | giao hàng nhanh, sách chuẩn.
[1122] true=negative pred=neutral | chờ cả tuần để nhận được sách
[1129] true=negative pred=neutral | sách bẩn và bị nhàu bìa, đặt hàng từ thứ 6 nhưng đến thứ 4 tuần sau mới nhận được
[1131] true=positive pred=neutral | mình cảm thấy chưa hài lòng lắm khi sách của mình nhìn khá cũ. bìa sách gần như rách và rất nhiều bụi. sách có vết rách và giấy mực trắng. tiki giao khá nhanh. ...
[1133] true=negative pred=neutral | extremely impolite người giao hàng
[1137] true=positive pred=neutral | giao hàng nhanh nhưng sách quăn hết :) thất vọng quá, muốn trả hàng có được không ạ?
[1142] true=negative pred=neutral | rất không hài lòng với cách vận chuyển của tiki
[1145] true=positive pred=negative | sách nhận được tróc chữ như này muốn đi tặng người khác cũng khó, đáng nhẽ cho 1 sao nhưng vì vận chuyển tốt nên 2 sao, tiki ngày càng quá tệ trong khâu chọn sá...
[1147] true=positive pred=neutral | giao nhanh nhưng bảo quản không cẩn thận, xước hết bìa sách
[1149] true=negative pred=neutral | giao hàng lâu lắm, bao giờ được như ***
[1158] true=positive pred=neutral | giao hàng nhanh! sách chất lượng giấy tốt! đang đọc thì mở ra được trang giấy rách! mua bìa cứng cốt để sưu tầm mà hơi thất vọng!
[1167] true=positive pred=negative | chất lượng lượng sách và dịch vụ giao hàng của tiki thì bao năm nay mình chưa từng phải phàn nàn, nhưng đơn hàng này của mình mua chung 3 cuốn trong 1 đơn, mình...
[1172] true=negative pred=neutral | tiki giao hang không đúng hẹn, không thông báo cho khách hàng, phản ánh 3 lần với bộ phận chăm sóc khách hàng không được giải quyết. sách giao cjo quá chậm trễ....
[1173] true=positive pred=neutral | gòy lun sách mới mua mà bị xếp góc dậy lun bùn quá cho 3 sao nhé. giao hàng nhanh.
[1180] true=positive pred=neutral | giao hàng nhanh, nhưng không kèm theo đĩa ?
[1186] true=negative pred=neutral | tôi đặt mua hnay là ngày thứ 3, dịch vụ 2h vậy mà giờ chưa nhận được hàng
[1192] true=negative pred=neutral | sách bị nát, giao hàng chậm. hơi thất vọng
[1197] true=negative pred=neutral | mình đặt tiki now nhưng anh người giao hàng nói là "em giao được thì giao, không giao kịp thì thôi" vì anh ấy không kiếm ra nhà mình
[1210] true=negative pred=neutral | giao trễ 3 tháng..
[1221] true=negative pred=absent | sách hay, nội dung phức tạp và mình thích phức tạp. 1 sao là vì cửa hàng giao cho mình cuốn bìa bị gãy gập bruh bruh
[1222] true=negative pred=neutral | (*) đánh giá không tính điểm đóng gói sơ sài, vận chuyển làm va đập móp méo méo hết gáy sách -10 sao.
[1223] true=negative pred=neutral | mình 8 quyển sách ngữ văn từ 6 tới 9 tập 1 và tập 2 tại nhà cung cấp. giao hàng đã trễ 1 ngày vì không có sách lúc giao hàng thì giao sách cũ . chắc chắn là bị ...
[1227] true=negative pred=absent | lấy nhằm sách cũ nên giá mới giảm như vậy
[1233] true=positive pred=neutral | sách mình mới mua hôm qua, đặt hàng tiki now và nhận giao hàng siêu tốc. mình nhận được sách rất nhanh nhưng có việc không để ý sách được. hnay mở sách ra đọc t...
[1234] true=positive pred=neutral | vận chuyển nhanh nhưng sách khá nhiều lỗi
[1248] true=positive pred=neutral | sách được biên soạn gồm hội thoại, cách đọc từ, ngữ pháp, từ vững và bài tập có đáp án; bên cạnh đó sách còn kèm theo file nghe. thích hợp cho việc tự học. nhưn...
[1252] true=positive pred=neutral | sách đẹp, giao hàng nhanh hơn dự kiến nhưng đĩa của sách không dùng được.
[1262] true=negative pred=neutral | giao hàng chậm quá giao hàng chậm quá
[1271] true=positive pred=neutral | sách tốt '-chất lượng lượng ,giao hàng nhanh
[1272] true=positive pred=neutral | giao hàng nhanh, đóng gói tốt nhưng sách không còn mới
[1275] true=negative pred=neutral | mua rất nhiều sách của tiki trading. nhưng càng ngày càng thất vọng vì cách gói hàng và giao hàng của tiki. hỏng hết sách. chính xác phải dùng từ "tởm lợm". hãy...
[1306] true=positive pred=neutral | sách bị rách, giao hàng nhanh, đóng gói cẩn thận
[1313] true=negative pred=neutral | thái độ giao hàng của người giao hàng quá tệ
[1314] true=negative pred=neutral | chờ giao hành quá lâu..
[1323] true=positive pred=neutral | hơi bị nhăn và gẫy bìa sách nhé! được cái giao hàng rất nhanh!
[1333] true=negative pred=neutral | tài xế giao hàng giao tiếp không lịch sự, để nơi giao hàng không phù hợp.
[1341] true=negative pred=neutral | tiki giao hàng quăng sách bấy nhầy. quá tệ
[1352] true=positive pred=neutral | sách hay- giao nhanh-rất hài lòng
[1355] true=neutral pred=negative | quyển sách không có đóng gói nilon, bẩn cạnh. giao h
[1357] true=negative pred=neutral | phía app giao sách không đúng hẹn. mà cũng không có lời chất lượng tốt lỗi. khá là bực mình định không nhận hàng nhưng sách không có tội nên thôi
[1372] true=positive pred=neutral | đóng gói kỹ, giao nhanh, nội dung dở
[1374] true=negative pred=neutral | rất không hài lòng với cách vận chuyển của tiki
[1389] true=positive pred=neutral | một tựa sách không nên mua các bạn ạ:(( mình khuyên thật điểm cộng: giao hàng nhanh, gói hàng đẹp, sách mới không móp méo méo tuy nhiên: điểm trừ: sách không qu...
[1392] true=negative pred=neutral | quyển sách vừa rồi cũng bị gãy, cuốn này nhận còn gãy dữ hơn nữa. cảm giác giao hàng cũ và tồn kho, không kiểm tra trước cho khách. tiki giao đơn cho vận chuyển...
[1396] true=negative pred=absent | hàng xước nhiều đã thế còn không có bọc sách đóng gói bên ngoài. uk thì cứ nói rằng là bên đó không có book care nhưng mình rất khó chịu với việc giao hàng khôn...
[1402] true=negative pred=neutral | sách giao chậm nhưng do dịch nên tạm chấp nhận được , còn phần đóng gói sản phẩm phải nói là rất tệ , sách không được bao đóng gói kĩ càng nên nhận tới tay bị c...
[1404] true=positive pred=neutral | giao hàng nhanh, đúng thời gian nhưng mà sách bị nhăn sau gáy, hồi xưa mình cầu toàn nên hở tí là khiếu nại đổi nhưng giờ không có thời gian với quà người yêu t...
[1405] true=positive pred=neutral | đóng gói không cẩn thận, tại sao lúc đóng gói không đóng gói sách lại hay chèn giấy vào cho sách không bị ảnh hưởng trong qtrinh vận chuyển, chỉ bỏ đúng 2 quyển...
[1417] true=negative pred=neutral | tiki giao hàng quá lâu. tôi chấp nhận ngày tết nên thông cảm cho tiki. bực nhất là dịch vụ đóng gói quá tệ. mua sách mới mà nhận sách giống như sách cũ: quăn mé...
[1427] true=negative pred=neutral | giao hàng quá lâu, đặt hàng từ ngày 3/12 đến 12/12 mới nhận được
[1435] true=negative pred=neutral | sách tốt mà không biết s 2 quyển đầu giấy màu trắng, quyển cuối giấy màu vàng @@. cửa hàng giao hàng rất lâu, đợi hoài luôn. tặng cửa hàng 3 sao v
[1437] true=negative pred=absent | mình mua 2 combo mà sao cửa hàng gửi có 1 combo vậy?
[1438] true=negative pred=neutral | quá thất vọng tiki về khâu giao hàng. thực sự mình đã rất hâo hức khi mua cuốn này tới giờ cầm nó trên tay thì mép của sách cong hết và dính nhiều bụi. nhiều lầ...
[1439] true=positive pred=neutral | nội dung sách thì mình không bàn tới, giao hàng thì siêu nhanh nhưng mà tiki có thể giao cuốn sách như vậy cho khách sao? mấy trang đầu không hiểu keo từ đâu ch...
[1448] true=negative pred=neutral | củng được mà vận chuyển bị gãy ngay góc
[1454] true=negative pred=neutral | người giao hàng giao hàng không báo trước thiếu chuyên nghiệp
[1455] true=positive pred=neutral | thề chứ giao hàng có một cái hộp ọp ẹp sách thì quăn ngay bìa mở ra chỉ có đúng quyển sách thui thủi không đóng gói màng kính tôi là một người quý sách nên cảm ...
[1469] true=positive pred=neutral | vì là cần gấp nên đặt giao nhanh trong 2 giờ, nhưng sách vừa nhận thì chưa kịp mở anh giao hàng đã phải đi giao. lên phòng mở ra hết hồn luôn. sách bị bẩn tùm l...
[1471] true=positive pred=neutral | giao nhanh nhưng gói hàng không cẩn thận, sách bị bẩn..
[1472] true=positive pred=neutral | giao rất nhanh, nhưng sách bị nếp gấp rất nhiều từ bìa sau đến nửa cuốn sách bên trong, đóng gói rất sơ sài
[1474] true=negative pred=neutral | lần đầu gặp tình trạng giao hàng của tiki bị lỗi như này. sách hơi lỗi như hình
[1475] true=positive pred=neutral | giao hàng nhanh, đóng gói tốt. có điều giấy in vàng khá xấu không phải loại giấy trơn nên có thể dễ rách.
[1478] true=negative pred=neutral | quá hụt hẫn nó nhỏ xíu luôn, chất lượng giấy thì không tốt, ngoài sức tưởng tượng luôn. nói chung bù lại được cái nội dung miễn chê. giao hàng lâu quá lâu
[1480] true=positive pred=neutral | ưu điểm là giao hàng nhanh,được kiểm tra hàng trước thanh toán, đóng gói cẩn thận, giá tốt thôi chứ không hề rẻ nhé. nhược điểm : chất lượng lượng giấy quá kém ...
[1481] true=negative pred=neutral | nhân viên giao hàng giao trễ nếu đt hẹn mình hôm sao, mình rất vui lòng. đằng bên giao hàng nhá máy cho có 2 lần. để lại tn như vậy, mình gọi lại ngay nhưng tắt...
[1485] true=negative pred=neutral | minh có đặt 2 cuốn nhưng khi nhận hàng chỉ có giao 1 cuốn là sao ạ?? mong cửa hàng có thể phản hồi sớm ạ
[1488] true=positive pred=neutral | không gặp vấn đề gì cả giao hàng nhanh
[1498] true=negative pred=neutral | tôi đã không nhận được hàng, tôi đã liên hệ với người giao hàng rất nhiều lần nhưng không được giải quyết
[1507] true=positive pred=neutral | giao nhanh, tuy nhiên sách không đóng gói bao bóng như trước, không thích lắm
[1527] true=negative pred=absent | thực sự rất thất vọng về tiki. mua sách tâm lý thị trường, thì đi giao một cuốn sách khác lạ và giá rẻ hơn giá mua. tại sao một công ty lớn lại làm ăn *** dối k...
[1533] true=negative pred=neutral | đặt 2 cuốn thì bị giao thiếu mất một cuốn. giao hàng lâu
[1535] true=negative pred=neutral | giao hàng gọi được 5p giục loạn cả lên trong khi đến giao vào giờ ăn trưa. yêu cầu chấn chỉnh.
[1547] true=positive pred=neutral | sách nội dung như hình, giao hàng sớm hơn dự kiến nhưng hình như đây là sách trưng bày vì sách bị bẩn ở bìa sau, góc bị gập và bị mòn nhiều. hy vọng tiki sẽ chú...
[1557] true=negative pred=neutral | cho 4* vì đây là quyển sách yêu thích của mình. vẫn tin tưởng tiki khi đặt hàng nhưng lần này thực sự thất vọng vì hẹn giao hàng ngày 2/5 vậy mà 1 tuần sau mới ...
[1560] true=positive pred=neutral | cảm ơn tiki nhé thời gian giao hàng cũng nhanh, nhưng mà nhìn cái hộp em thấy không lành chút nào tiếc nuối trùi ui cái hộp bẹp dí luôn, này là do em đã nắn nó ...
[1568] true=negative pred=neutral | giao nhầm sách. cửa hàng coi lại nhé.
[1569] true=negative pred=neutral | -giao hàng chậm 1 ngày ( trước đó mua toàn giao trước 1 ngày) - đóng gói siêu tệ. móp méo, méo, bung băng keo niêm phong. ọp ẹp không chắc chắn. - 3 cuốn sách 1...
[1572] true=positive pred=neutral | thực sự không thể phủ nhận tốc độ giao hàng nhanh số 1 của tiki so với các bên khác. tuy nhiên, tôi thất vọng khi tỷ lệ cao nhận được sách bẩn, sách rách. lần n...
[1575] true=negative pred=neutral | mình thực sự không hài lòng cách đóng gói và vận chuyển. gáy sách hoặc phần bìa sách luôn bị cấn/móp méo/trầy xước/xướt. sách còn bẩn nữa. thực sự rất mình rất ...
[1585] true=negative pred=neutral | người giao hàng giao hàng móp méo méo
[1602] true=negative pred=neutral | giao hàng quá ẩu, mình đặt giúp. bạn mình nhận được một cái hộp bục tanh bành. siêu thất vọng tiki lần giao hàng này. với 1 con mọt thì đúng là không chấp nhận ...
[1614] true=negative pred=neutral | sách thì tốt nhưng giao hàng chậm không thể chấp nhận được, lần đầu tiên cũng là cuối cùng mình mua sách trên tiki
[1615] true=negative pred=neutral | sách đọc khó hiểu, giao hàng bị hư bìa sách
[1618] true=negative pred=neutral | chưa mở sách ra, nhưng người giao hàng rất xem thường khách hàng, trong tình hình dịch dã mà không thực hiện đeo khẩu trang và 5k , nói chuyện thì với thái độ b...
[1638] true=negative pred=neutral | người giao hàng có thái độ rất cọc cằn, chửi luôn cả người nhận hàng
[1640] true=positive pred=neutral | sản phẩm mua về lật để thường thức nhé các bạn, chứ mấy câu lí thuyết không mấy khả quan như vậy, mua về làm sao mà dựng được chân dung. quá chán. lên mạng mò v...
[1652] true=positive pred=neutral | hình thức sách và giao hàng ổn không có vấn đề gì. nhưng nội dung dở và không sát với tựa sách. cách hành văn lan man như kể chuyện trên 1 buổi talk show. kể nh...
[1654] true=positive pred=neutral | giao nhanh, nhưng hàng đóng gói rất ẩu chỉ cho 5 quyển sách vào hộp rồi gói lại, mình là người quý sách lên rất không hài lòng !
[1658] true=positive pred=neutral | mình không biết nên viết như nào nhưng mà mình không hài lòng quyển này! *bài viết chỉ mang đánh giá cá nhân, vẫn nên tự đọc để kết luận* qua rất nhiều quyển về...
[1659] true=positive pred=neutral | cảm nhận cá nhân thì không có gì đặc sắc, do tham khảo mấy trang đầu nghĩ rằng quyển sách sẽ đề cập cách lên plan hoặc phương pháp nào nó để nâng cao kỷ luật. t...
[1664] true=negative pred=neutral | mình không ở nhà, nhờ ngừoi nhà nhận hộ thì hộp như thế này đây, mở ra được luôn. một bên bìa hộp thì rách đôi (có video nhưng ở đây không có mục up vid). sách ...
[1666] true=positive pred=neutral | phải công nhận 1 điều là tiki giao hàng rất nhanh. giá sách thế nào thì chất lượng lượng sách thế ấy thôi ?. chỉ có đôi chút thất vọng vì sách bị hỏng ờ 1 chỗ m...
[1668] true=negative pred=neutral | sản phẩm đẹp nhưng bên vận chuyển quá tệ
[1671] true=positive pred=neutral | sách hay gửi nhanh sách chất lượng lương
[1672] true=negative pred=neutral | giao hàng quá lâu, hơn cả tháng vượt quá thời gian giao hàng dự kiến vẫn chưa thấy sách đâu, phản ánh tiki mới nhận được email thông báo đơn hàng gặp vấn đề về ...
[1678] true=positive pred=negative | giao nhanh, đóng gói tốt nhưng bản có pvc đã hết mà không cập nhật, làm t mua xong cuối cùng hỏi thì bảo hết bản có pvc rồi nhưng nhân viên chưa cập nhật :) mà ...
[1691] true=negative pred=neutral | bên vận chuyển cực kì tệ, hộp bị dập nát, sách bị cong và móp méo vài chỗ, sách cong thì mình tự sửa được rồi nên bề ngoài nhìn tạm được (còn bên trong nhìn xót...
[1720] true=negative pred=absent | sách rất đẹp, tuy nhiên do quá trình vận chuyển đầu sách của mình lại cong gãy thế này. quyển sách khá to, thế mà lại không có giấy bong bóng đóng gói bên ngoài...
[1734] true=positive pred=neutral | giao hàng nhanh, đóng gói cẩn thận. nhưng chất lượng lượng sách tệ quá, mới mở ra đọc đã bong gáy, rời ra ngày 4 tờ
[1740] true=positive pred=neutral | giao nhanh, sách mới, nhưng mình tưởng giáo trình chuẩn- bài tập là cả giáo trình lẫn sách bài tập. nhưng mà thật ra chỉ có sách bài tập thôi nên hơi buồn. cần ...
[1745] true=positive pred=neutral | giao hàng tốt nhưng khi mình đọc đến gần cuối thì có 1 trang bị rách.
[1750] true=positive pred=neutral | sách được sắp xếp lộn xộn các trang và bị mất trang không thể đọc liền mạch. ví dụ: từ trang 52 nhảy về trang 49, từ trang 50 nhảy lên trang 63,.. và mất trang....
[1761] true=positive pred=neutral | mình nhận được hàng rất nhanh, sách mới đẹp, nhưng quyển 2 có vài trang in bị mờ mất chữ.
[1782] true=positive pred=neutral | truyện ngay sau khi được bỏ ra khỏi hộp của tiki thì đã làm cho tâm trạng của mình từ vui sướng hồi hộp và thầm cảm ơn tiki vì giao hàng khá nhanh thành là thất...
[1785] true=negative pred=neutral | nói thứ 7 giao mà giờ tối thứ 7 rồi mà không thấy bóng dáng
[1794] true=negative pred=neutral | sách giao rất lâu, gãy góc, nhăn nhúm. trông rất chán
[1812] true=negative pred=neutral | alo cửa hàng, mình đặt 1 cuốn thôi sao giao tới 2 cuốn làm mình phải trả tiền 2 lần luôn? cửa hàng xử lý giúp mình?
[1823] true=positive pred=neutral | sách giao nhanh bởi best. sách hơi bẩn, bụi nhiều, cầm bẩn tay, giống sách cũ
[1825] true=negative pred=absent | đi trời mưa ngấm ướt hết luôn
[1842] true=positive pred=neutral | giao hàng nhanh, đóng kĩ nhưng sách vẫn bị hư hại nặng nề. đây là lần thứ hai mình mua cuốn sách này trên tiki. lần trước vì không chấp nhận sách quá hư hại nên...
[1850] true=negative pred=neutral | giao hàng siêu chậm ..
[1855] true=negative pred=neutral | giao hàng chậm. từ 26/4 đến ngày 2/5 mới nhận được
[1857] true=positive pred=neutral | bìa sách móp méo méo. giao hàng tốt. đề nghị cửa hàng đưa sách mới mình không biết do vận chuyển hay sản phẩm mà sách mình nhận bị móp méo méo trong khi 1 sản p...
[1858] true=positive pred=neutral | mình thích mua bìa cứng vì thường sẽ là sách màu và trang giấy dày, mịn ( nhưng mình bảng của fin fin này lại chỉ in màu các trang đầu và chương 1 các trang sau...
[1860] true=negative pred=neutral | truyện hay, giấy đẹp màu đẹp đóng gói hàng và vận chuyển tệ
[1862] true=positive pred=neutral | dv và giao hàng của tiki chu đáo . cuốn sách thì khỏi bàn nữa rồi vì các thính giả, các khách hàng đã mua viết hết ý rồi . cá nhân mình thích bản biên dịch ngắn...
[1863] true=positive pred=neutral | sản phẩm giao nhanh, chất lượng lượng.
[1865] true=negative pred=neutral | sách hay đó chứ. vốn dĩ mình không định cho 1 sao đâu, tội người bán, nhưng mình nghĩ tiki nên xem lại thái độ của người giao hàng. :)) mẹ mình bảo đem vào, anh...
[1867] true=positive pred=neutral | anh người giao hàng tâm huyết lắm tiki, trời mưa gió rét mà vẫn mang hàng tới, không chậm chút nào luôn ạ. điểm 10 cho chất lượng lượng. sách khá to và dày ạ. m...
[1871] true=positive pred=neutral | sách cũng được này?. văn phong cũng không đến nỗi nhàm chán. giao hành nhanh này. đọc thì cảm thấy mình nhận ra nhiều điều về gia đình hơn, về vì sao thành viên...
[1873] true=positive pred=neutral | giáo hàng nhanh , gói hàng sơ sài , sách bị cong góc
[1874] true=positive pred=neutral | trong dịp tết mà tiki giao hàng nhanh lắm, 2 ngày là có hàng rồi. sách bọc sách kĩ, đóng hộp cẩn thận
[1875] true=positive pred=neutral | chưa đọc nên chưa biết. được cái sách mới, đẹp, giao hàng nhanh
[1878] true=positive pred=neutral | mua trọn bộ lần hơi đau ví nhưng cũng may được giảm giá chút ít. tiki giao hàng nhanh, hình thức sản phẩm khá tốt, nguyên vẹn và còn mới.
[1879] true=positive pred=neutral | giao nhanh và hàng ổn.
[1884] true=positive pred=neutral | sách còn nguyên màng đóng gói. giao hàng siêu nhanh bất chấp mưa bão, người giao hàng rất chi là chu đáo và lịch thiệp. hi vọng sách hay nữa là hoàn hảo.
[1885] true=positive pred=neutral | tiki giáo hành nhanh , bảo bì ổn sách mà không hai hự . theo mình thì sách khá hay mọi người thích thì mua không thích thì vẫn mua
[1886] true=negative pred=neutral | mình mua sách trên tiki rất nhiều và khá hài lòng . nhưng lần này thì thất vọng thật sự thất vọng thất vọng vì cách đóng gói và vận chuyển sản phẩm : - đóng gói...
[1892] true=positive pred=neutral | cuốn tô màu đẹppdễ thương có rất nhiều dạng tranh để tô từ chi tiết nhỏ đến to, có tranh để vẽ thêm lên, cũng có những tranh để điền này kiayêu thích nói chung ...
[1894] true=negative pred=neutral | sách đẹp, cảm giác đọc rất nhẹ nhàng nhưng giao hàng làm nhăn hơn 1 nửa quyển sách.
[1901] true=positive pred=neutral | giao hàng nhanh sách hay và đẹp bé nhà mình rất thích
[1904] true=positive pred=neutral | ngoại quan như hình, chưa đọc nên chưa đánh giá được nhưng hài lòng về dịch vụ giao hành
[1909] true=positive pred=neutral | sách bị dư giấy khoảng 5 tờ như hình, cạnh gáy sách cũng bị trầy xước xướt, có cảm giác như nhận sách in lỗi nhưng giao nhanh nên mình cho 3*
[1911] true=positive pred=neutral | giao hàng nhanh nhưng hộp đã bị mở sẵn, sách còn nguyên seal
[1913] true=positive pred=neutral | ✓ về phần nhà bán hàng thì không ý có gì, giao hàng nhanh, sách mới đẹp đóng gói cẩn thận. ✓ về nội dung thì theo cách đọc và hiểu của cá nhân mình là không đượ...
[1916] true=negative pred=neutral | sách tốt, sản phẩm đúng quảng cáo, nhưng xử lí đơn hàng lâu và không có chống sốc khi giao hàng
[1918] true=positive pred=neutral | giao sách sớm. sách tương đối đẹp về hình thức, nội dung phù hợp cho mẹ trong giai đoạn giáo dục con khi lần đầu lm mẹ như mình.
[1919] true=positive pred=neutral | hàng giao đúng hạng. đống rối nhìn thẩm mỹ nhưng lại không chất lượng chấn cho sách khiến sách bị cong 1 góc. tôi mua 1 lần 2 cuốn, cuốn kia thì có bề bao kiến ...
[1924] true=positive pred=neutral | sách quá hay. cần danh nhiều thời gian nghiền ngẫm. tiki giao hàng nhanh.
[1927] true=positive pred=neutral | giáo hàng nhanh. nhưng cái mình nhận được là sản phẩm bị lỗi, rất tiếc!
[1929] true=positive pred=neutral | giao hàng nhanh. chất lượng sách ổn nhưng sau khi đọc hết có vài trang đầu đã bung ra chắc do mình lật qua lật lại nhiều quá.
[1931] true=neutral pred=absent | không biết đã có khách hàng nào góp ý về số lượng emails tiki chuyển tải tới khách mua cho mỗi đơn hàng hay không ? tôi đặt mua 1 đơn hàng gồm 6 cuốn sách và 2 ...
[1940] true=negative pred=neutral | vận chuyển làm sản phẩm bị gấp cả bìa và nhiều trang bên trong. bẻ lại vẫn không thẳng. làm trải nghiệm đọc bị khó chịu. nội dung sách thì hay khỏi chê. chờ mãi...
[1955] true=positive pred=neutral | sách đẹp, giao nhanh. còn nội dung thì hơi khó đọc
[1956] true=positive pred=neutral | tiki gia hàng nhanh, đóng gói cẩn thận. sách mới. nội dung sách hay. tuy nhiên mình rất không hài lòng về chất lượng lượng giấy in của sách: mực in mặt này chồn...
[1964] true=positive pred=neutral | giao hàng: nhanh chuẩn chất lượng lượng sản phẩm: vô cùng kém sách chưa đến 100 trang thì từ trang 1 đến trang 14 long ra khỏi gáy riêng 1 trang như trong hình ...
[1968] true=positive pred=neutral | sách không vấn đề: giấy in đẹp, giao hàng nhanh. 1* ở đây là đánh giá phần dịch vụ sau bán của tiki nên cải thiện (mình mua sách tiki trading nên đánh giá tại đ...
[1970] true=negative pred=neutral | tiki giao chậm như rùa, một quyển sách giao hàng nội thành mà trong hai tuần mới giao hàng nổi, bìa sách còn bị xước, bám đầy bụi?? nhìn tưởng sách đồng nát buô...
[1975] true=positive pred=neutral | đây là lần đầu tiên tôi đặt hàng ở tiki mà cảm thấy tệ như thế này. sách nhìn có vẻ bẩn, các góc bị móm,.. nhưng nói chung cũng do bản thân tôi đã không dùng bọ...
[1991] true=negative pred=neutral | nội dung rất hay. nhưng sách giao bị móp méo khá nặng. tiki nên xem lại dịch vụ bảo quản, đóng gói và giao hàng.
